Universidad;Titulo;Autor;Grado;Asesor;Resumen;Año
Universidad Nacional Mayor de San Marcos;Regresión logística: factores de riesgo que inciden al trabajo infantil - Encuesta Nacional de Hogares, Perú 2021;Castillo Mamani, Fiorella Ninet;Licenciada en Estadística;Molina Quiñones, Helfer Joel;"Aborda como principal estudio conocer los factores de riesgo que inciden al trabajo infantil. Considerando como fuente secundaria la Encuesta Nacional de Hogares 2021 la base de datos. El estudio es descriptivo y transversal con un diseño observacional, no experimental. La selección de la muestra solo abarco niñas, niños y adolescentes entre 5 a 13 años de edad (19,546 casos). A partir de ello, se determinará los factores de riesgo utilizando el modelo de regresión logística múltiple. Donde, por medio de esta técnica Paramétrica se ha podido conocer los factores de riesgo que inciden al trabajo infantil en el 2021; en el cual se encontraron 12 variables que influyen al riesgo en que un menor se encuentre realizando algún tipo de trabajo (X2=46.88; p_valor=0.0000). Dentro de estas se encuentra: sexo, área de residencia, región rural,
macro región, la variable sabe leer y escribir, lengua materna, ultimo nivel de estudios que asistió el 2020, actualmente asiste algún centro de estudios, el tipo de centro de estudios, la relación de parentesco con el jefe del hogar, nivel de pobreza, N° miembros del hogar (variable agrupada).";2022
Universidad Nacional Mayor de San Marcos;Años de vida potencialmente perdidos por COVID-19 en el Perú, 2020-2021;Rodriguez Coaguila, Juan Jesús;Licenciado en Estadística;Molina Quiñones, Helfer Joel;Determina las tasas de años de vida potencialmente perdidos debido a todas las causas de muerte y por COVID-19 en el Perú, durante los años 2020 y 2021, este último por totales y según sexo. Siguiendo las putas o procedimiento propuesto por la OMS, respecto de elegir un límite de edad superior y un límite de edad inferior, calculando la edad media para cada grupo de edad, los años de vida potencialmente perdidos y sus tasas multiplicadas por 1 000 habitantes. Se tomó como matriz de análisis del Sistema Informático Nacional de Defunciones (SINADEF), de libre acceso, de los años 2017 al 2021 donde registran 801 719 muertes acumuladas dentro el periodo del 2017 al 2021. Asimismo, de la matriz se consideró el periodo 2020 y 2021 dando un acumulado de 10 366 fallecidos a consecuencia de la COVID-19 (casos confirmados al 24 de mayo del 2022, según SINADEF-MINSA). Representando con un 1,5% para el año 2020 y 2,1% de años de vida potencialmente perdidos para el 2021, en comparación con todas las causas de muerte. Atribuyéndole 49 394 años perdidos para el año 2020 y para el año 2021 se le atribuyó 69 038 años perdidos.;2022
Universidad Nacional Mayor de San Marcos;Predicción de abandono de clientes de un comercio electrónico usando Regresión Logística y Árbol de Clasificación CART;Melgarejo Cabrera, Victoria Raquel;Licenciada en Estadística;Roque Paredes, Ofelia;En tiempos actuales, los ecommerce se han convertido en fuentes de ingresos para cualquier empresa, es así como nace el primer ecommerce medioambiental de la empresa certificadora, que cimienta sus bases en su carácter innovador. Ante esto nace también la necesidad de poder detectar a clientes que son propensos a abandonar el ecommerce con el fin de poner esfuerzo para retenerlos. Como solución se propone hacer una comparación de dos técnicas de machine learning, para predecir el abandono de clientes, estas son Regresión Logística y Árbol de Clasificación CART. Asimismo, se detectó que nuestra variable respuesta se encuentra desbalanceada para ello se empleó la técnica de muestreo SMOTE. Finalmente, la evaluación se realizó con distintas medidas de desempeño que permiten ver el poder predictivo del modelo.;2022
Universidad Nacional Mayor de San Marcos;Análisis de audiencia de avisos publicitarios del sector telecomunicaciones mediante árboles de regresión;Farfán Farfán, Mirella Medalith;Licenciada en Estadística;Roque Paredes, Ofelia;Desea captar la mayor cantidad de audiencia mediante la identificación de las variables más importantes y la mejor colocación de avisos. En la parte de revalidación de los datos se consiguió que el error de raíz cuadrada media es de 1.04 y 0.79 para el R cuadrado de la data de testeo. Encontramos que las variables que se ajustan más al modelo son emisora, tarifa, disposición del programa (bloque horario), naturaleza del programa (género del programa), posición de aviso y duración.;2022
Universidad Nacional Mayor de San Marcos;Modelo Lineal Generalizado Logístico para identificar factores de riesgo en el lavado de activos en una empresa financiera de Lima-Perú;García Flores, Daniel Josué;Licenciado en Estadística;Molina Quiñones, Helfer Joel;"Evalua las alertas que se han presentado en el primer trimestre del año 2022 en la empresa Servitebca Perú S.A., de las cuales se presentan casos inusuales y casos de riesgo, estos últimos, deben ser sustentados por ambas partes, para así amparar la salud de la empresa y no afectar su credibilidad. El Modelo Lineal Generalizado con enlace Logit es una herramienta adecuada para el presente estudio, en el cual se tiene una variable de respuesta dicotómica con distintas variables explicativas, que junto con sus beneficios se podrá obtener a mayor detalle el perfil del cliente y las variables significativas que interactúan en el modelo.
Tras el exhaustivo estudio, se entiende que todo parte desde la elección del cliente y en el perfil que este ha venido desarrollando o con la cual ha emprendido cómo, por ejemplo: rubro laboral, tamaño de la empresa, multas registradas en INDECOPI, entre otras. Por lo cual los filtros y reglamentarias para obtención de estos mismos es elemental para evitar futuros riesgos.";2022
Universidad Nacional Mayor de San Marcos;Modelo de propensión a la adquisición de un producto activo o pasivo en una entidad financiera peruana;Céspedes Malpartida, Diana Milagros;Licenciada en Estadística;Molina Quiñones, Helfer Joel;"La entidad financiera es una empresa peruana especializada en brindar productos financieros,
sean activos o pasivos dentro del territorio nacional buscando mantener un crecimiento, y ya
que existe una fuerte competencia en el mercado financiero, es que surge la necesidad de
aumentar la adquisición de productos financieros en todas las regiones acorde a las
características de los clientes como por ejemplo su comportamiento financiero, sus
actividades económicas y su perfil demográfico, y también acorde a sus necesidades. Para
resolver esta problemática se empleó información de 31,011 clientes naturales mayores de
18 años durante los meses de junio 2021 a abril 2022, todos estos clientes residentes en el
Perú, los cuales fueron evaluados y admitidos en la entidad financiera, obteniendo como
resultado un modelo óptimo de regresión logística, cuya buena clasificación es del 71% entre
clientes que adquieren o no adquieren algún producto financiero en la entidad financiera.
Además de obtener las características influyentes en el modelo como la edad, la actividad
económica, el ingreso mensual, la calificación crediticia, entre otras.";2022
Universidad Nacional Mayor de San Marcos;Proyección del número de turistas internacionales mediante el análisis de series de tiempo, Perú;Barboza Navarro, Joanna Melina;Licenciada en Estadística;Molina Quiñones, Helfer Joel;Uno de los sectores más golpeados por la pandemia fue el turismo, debido a que no hubo ingreso de turistas internacionales a nuestro país durante los meses de abril a setiembre 2020, alcanzando un descenso del 80% en comparación de las cifras alcanzadas en el 2019, lo que generó un caída del PBI, al pasar de 3,9% en el 2019 a 1,5% en el 2020, así como el desempleo masivo en el sector turismo, donde en el 2019 registró su pico más alto en los últimos cinco años con más de un millón de empleo, mientras que en el 2020 solo se habrían generado 697 mil empleos turísticos totales, lo que significó una fuerte caída de 52,2%, asimismo, descendiendo su participación en la PEA ocupada a 4,7%. Debido a estos resultados, se llevó a cabo este Trabajo de Suficiencia Profesional con la finalidad de proyectar una pronta recuperación en el sector. Así que se procedió a obtener los datos de enero del 2002 a diciembre del 2021 a través de la página web del MINCETUR y siguiendo la teoría de Box-Jenkins se encontró el modelo SARIMA (1,1,1) (2,0,0)12 que logró proyectar hasta el mes de diciembre 2022 el número de turistas internacionales al Perú, donde los resultados fueron favorables para el sector, debido al incremento mensual.;2022
Universidad Nacional Mayor de San Marcos;Caracterización de clientes de la marca TGI Fridays, mediante los algoritmos K-Means y K-Medoids;Larico Soncco, Yeny;Licenciada en Estadística;Rodriguez Orellana, Hugo Marino;"Caracteriza a los clientes de la marca TGI Fridays, para poder tener éxito en las estrategias de Marketing.
Para esta categorización primero se tuvo que realizar la limpieza de datos, luego se seleccionaron las variables para el análisis, las cuales fueron edad, ganancia y cantidad de productos. Luego se aplicó el análisis jerárquico, el cual se realizó para poder obtener el número óptimo de clúster. Luego se aplicaron los análisis no jerárquicos de conglomerados K-means y K-meodids. Esto nos brindó los grupos de clientes con las características más homogéneas. Seguido se realizó la evaluación de cada agrupamiento con el método de la silueta. Finalmente, se obtuvo como resultado tres grupos de clientes. El primer grupo se define por
la alta demanda de productos y alta ganancia, el segundo grupo se define por ser los más jóvenes y con poca ganancia y el tercer grupo se define por la demanda regular de productos y mayor edad. Con esta clasificación tendríamos más conocimiento de ellos, y en consecuencia elegir cuales serían las estrategias adecuadas para la publicidad.";2021
Universidad Nacional Mayor de San Marcos;Segmentación de empresas para identificar su tamaño empleando el algoritmo de k-means;Espinoza Ballesteros, Moisés;Licenciado en Estadística;Roque Paredes, Ofelia;Propone identificar el tamaño en base a cinco variables los ingresos, egresos, activos, pasivos y patrimonio usando información recogida por el Instituto Nacional de Estadística e Informática en la Encuesta Económica Anual ejecutada en el años 2018, donde las empresas registran información del ejercicio económico del año 2017. Con esta premisa estamos ante un problema de segmentación o clustering, en toda problemática se tiene diversas maneras de abordarlo y encontrar una solución adecuada, por ello en este caso se realizará usando la metodología CRISP-DM y para encontrar los clúster se opta el algoritmo k-means que funciona muy bien con variables cuantitativas, pero presenta problemas con la presencia de valores extremos u outliers por ello uno de los primeros pasos a realizar es su detección. Luego de la aplicación del algoritmo se encontraron tres segmentos bien definidos por la pequeña empresa, la mediana empresa y la gran empresa.;2022
Universidad Nacional Mayor de San Marcos;Segmentación de obras para una asignación correcta de equipos de trabajo en una empresa siderúrgica en el primer semestre del 2022;Norabuena Guimaray, Abed Amancio;Licenciado en Estadística;Roque Paredes, Ofelia;La empresa dedicada al sector siderúrgico, en los últimos meses han pasado por algunas dificultades en la producción de estructuras de acero. Estos eventos han ocasionado retrasos en la entrega de productos o estructuras en las obras solicitadas por sus clientes. El área de investigación y desarrollo de la empresa asociada al sector ingeniería de la empresa siderúrgica, ha encontrado un problema de retraso en la elaboración del diseño de obras, que, si bien siempre ha existido, ahora mediante un análisis en gerencia se encontró que el tiempo de creación era demasiado prolongado y eso afectaba a los demás procesos razón por lo cual había retrasos en la entrega final del producto. Para solucionar el problema se elaboró un modelo de clusterización el cual nos permita segmentar mejor las obras en base a las estructuras que se elaboran en dicha obra con el objetivo de asignar correctamente a los ingenieros especializados en dichas estructuras. El modelo seleccionado fue creado a partir del algoritmo de Análisis Cluster: k - medias, el cual nos permitió obtener cinco clústeres donde se pudo identificar notoriamente la diferenciación de estructuras ubicadas en cada clúster, este modelo fue validado mediante técnicas de validación interna y externa, el cual indicó que la creación de los clústeres era adecuada, es decir cumplían con ser homogéneos dentro de los grupos y distantes entre clústeres. Finalmente, se implementó el modelo en el área de Tecnología y entregada al área de Planificación para que pueda asignar correctamente los especialistas a las nuevas obras para elaborar las estructuras requeridas en obra, se realizó capacitaciones constantes para que el usuario final se familiarice con los resultados obtenidos.;2022
