Universidad;Titulo;Autor;Grado;Asesor;Resumen;Año
Universidad Nacional de San Antonio Abad del Cusco;Aplicación de visión artificial en la estimación del peso corporal del cuy;Zapata Ttito, Abel Gabriel;Ingeniero Informático y de Sistemas;Ormeño Ayala, Yeshica Isela;"La estimación del peso es un tema de investigación que ha sido abordado usando técnicas de visión artificial, siendo la más reciente: la red neuronal convolucional (CNN), la cual ha permitido obtener buenos resultados en la estimación del peso animal como: el cerdo, la vaca y el pescado. En la región del Cusco, el peso del cuy es un factor muy importante en la crianza de cuyes tanto en el sector comercial (productores) y el ´am bito académico (investigadores), porque permite realizar un monitoreo al cuy durante su ciclo productivo. Este trabajo propone como objetivo general la aplicación de visión artificial mediante la adaptación de un modelo Convolutional Neural Network (CNN) en la estimación del peso del cuy. Para lograr este objetivo: primero, se realizó una revisión bibliográfica de investigaciones sobre la estimación del peso animal; segundo, se recolectó 1561 imágenes de cuyes y sus respectivos pesos para construir un dataset de imágenes, máscaras y pesos de cuyes; tercero, se adaptó el modelo Mask R-CNN añadiéndole una rama que permita estimar el peso del cuy; y cuarto, se analizó los resultados obtenidos después del entrenamiento del modelo para mostrar la precisión que se obtiene en la estimación del peso del cuy. También se procedió a la implementación de un prototipo que sirva como una herramienta en la estimación del peso del cuy. Como resultado se obtuvo un R2=80 % de precisión en la estimación del peso del cuy y un MAPE de 12.41 %.";2022
Universidad Nacional de San Antonio Abad del Cusco;Implementación de la red de acceso a internet por fibra óptica para el desarrollo de las clases virtuales de la Institución Educativa Wiñaypaq de la comunidad campesina de Huandar del distrito de Pisac;Usca Abal, Milton;Ingeniero Informático y de Sistemas;Villafuerte Serna, Rony;"El presente trabajo de investigación tiene como objetivo principal la implementación de la red de acceso a internet por fibra óptica para el desarrollo de las clases virtuales. Sobre el método utilizado, el trabajo fue de alcance descriptivo, de enfoque cuantitativo y de tipo básico; la población lo conforman 70 estudiantes y docentes de la institución educativa Wiñaypaq de la comunidad campesina de Huandar del distrito de Pisac. Para solucionar el problema de conectividad de internet se realizó el tendido de fibra óptica SPAM 200 desde la terminal de línea óptica (OLT) ubicado en el distrito de Pisac hasta la terminal de nodo óptico (ONT) ubicado en la institución educativa, utilizando para el propósito los postes de energía de media y baja tensión de la empresa Electro Sur Este, en un recorrido de 2200 metros, a su vez se realizó la instalación de dos antenas direccionales para proporcionar internet Wifi a los alumnos de la institución y la conexión a una red de datos del centro de cómputo de la institución, para el buen uso del internet se realizó capacitaciones a los docentes en plataformas de desarrollo de clases virtuales.";2022
Universidad Nacional de San Antonio Abad del Cusco;Evaluación de arquitecturas Deep Learning para identificar anomalías por deficiencia de macronutrientes en Persea Americana variedad Hass;Machaca Quispe, Lucero Betzabe;Ingeniero Informático y de Sistemas;Carbajal Luna, Julio Cesar;La fertilidad del suelo es vital para el desarrollo de los cultivos de Persea Americana y una beneficiosa producción de frutos, este desarrollo se ve afectado por la deficiencia de nutrientes (macro y micro nutrientes) en el suelo. Las características tempranas se presentan en las hojas provocando decoloraciones, manchas y en algunos casos necrosis. En los macronutrientes se consideran seis clases críticas para el cultivo como son Calcio, Potasio, Magnesio, Nitrógeno, Fósforo y Azufre, la dificultad de identificar al macronutriente que ocasiona la aparición de anomalías en las hojas corresponde a un problema de clasificación de imágenes. Las redes neuronales convolucionales han demostrado un gran desempeño en las tareas de visión por computadora, esencialmente en la clasificación de imágenes por este motivo la solución propone emplear las arquitecturas de redes neuronales profundas Inception-v3, DenseNet169 y MobileNet por su alto rendimiento. Para entrenar las CNNs se construyó un dataset original y primero en su tipo de 6,090 imágenes distribuidas en siete categorías que se recolectaron en cuatro periodos, en el sector de Molinopata, Abancay - Apurímac, aún con esta cantidad de imágenes es insuficiente para entrenar una CNN desde cero. Por esta razón se empleó la transferencia de aprendizaje en la solución como estrategia de entrenamiento, adicionalmente beneficia el desarrollo de la solución reduciendo el costo computacional y los tiempos de entrenamiento. Se construyó un prototipo basado en una arquitectura API y desplegado en el servidor local con finalidad de mostrar los resultados de manera dinámica para un usuario final. Los resultados obtenidos de las métricas de evaluación aplicadas al subconjunto de validación de Persea Americana Hass Dataset proporcionan un análisis del comportamiento de las CNNs en la tarea clasificación de las hojas de Persea Americana variedad Hass. Se obtuvo tasas de acierto del 85.86%, 84.64% y 83.29% de Inception-v3, MobileNet y DenseNet169 respectivamente. Resultando ser la CNN Inception-v3 la sobresaliente para el problema de investigación.;2019
Universidad Nacional de San Antonio Abad del Cusco;Implementación de técnicas de minería de texto para la clasificación de tickets de soporte en la oficina de Tecnologías de la Información de EGEMSA;Alejo Hirpahuanca, Fernando;Ingeniero Informático y de Sistemas;Palomino Olivera, Emilio;"En EGEMSA cuando un colaborador de la empresa solicita un ticket de soporte mediante correo electrónico, llamada telefónica o de manera presencial; el personal de la oficina de Tecnologías de la Información (TI) revisa dicha solicitud y lo deriva a un especialista de soporte para su solución inmediata. A medida que se incrementaba la cantidad de solicitudes de servicio de TI, el personal responsable de atender los tickets, dedicaba mucho tiempo evaluando cada descripción del ticket y tratando de asignarle su categoría correspondiente. Como resultado de esta tarea manual, la mayoría de las veces el personal de la oficina de TI completaba con la etiqueta “Otros” o “Ninguno” para estos tickets; esto implicaba una dificultad crucial al momento de generar informes ya que no contemplaba el detalle de cada categoría. Es por ello que se implementó las técnicas de minería de texto para la clasificación de los tickets de soporte, en efecto se construyó un modelo clasificador de tickets para categorizar el nuevo ticket en función de su descripción. Asimismo, el conjunto de datos que se utilizó fueron datos internos de la empresa importados desde su sistema de mesa de ayuda. Se recolectó alrededor de 3000 tickets de soporte, considerando el título, la descripción del ticket, la fecha y su categoría. Para el entrenamiento del modelo se dividió el 75% del total de tickets y para las pruebas el 25%. Al final del entrenamiento y pruebas, el modelo SVC lineal alcanzó una precisión del 75% al hacer predicciones para los nuevos tickets. La contribución de las técnicas de minería de texto para la clasificación de los tickets en la oficina de tecnologías de la información fue automatizar el proceso de clasificación, mejor obtención de informes de servicios de TI, y la satisfacción de los encargados de la oficina de TI.";2022
Universidad Nacional de San Antonio Abad del Cusco;Identificación de establecimientos comerciales no registrados en mapas digitales;Huarayo Quispe, Joel Frank;Ingeniero Informático y de Sistemas;Enciso Rodas, Lauro;"El presente trabajo de investigación busca identificar establecimientos comerciales mediante imágenes de Google Street View (GSV) debido a que facilita obtener imágenes de calles, pero existen ciertas dificultades como: ruido, oclusión de personas, carros, arboles, etc. Para abordar este problema, se propone un método que hace uso de procesamiento de datos espaciales realizadas en un entorno GIS y técnicas de Deep Learning. Primeramente, se creó un algoritmo para descargar automáticamente imágenes de GSV orientadas a las fachadas de los edificios, analizando la geometría de mapas en OSM mediante el software QGIS, con el fin de construir un dataset de imágenes de establecimientos comerciales; para luego entrenar un modelo capaz de detectar y clasificar establecimientos comerciales, luego se calcula su ubicación geográfica tomando en cuenta los metadatos obtenidos al descargar las imágenes. Esta información permite conocer la ubicación y el tipo aproximado de negocios que se hallan en ciertas zonas urbanas de la ciudad del Cusco.";2021
Universidad Nacional de San Antonio Abad del Cusco;Construcción de un extractor de características basado en modelos pre-entrenados de redes neuronales convolucionales, para la identificación de imágenes de pinturas coloniales de la ciudad del Cusco;Centeno Delgado, Harried All;Ingeniero Informático y de Sistemas;Carbajal Luna, Julio Cesar;"El presente trabajo pretende identificar imágenes de pinturas coloniales de la ciudad del Cusco. En específico, a la hora de capturar imágenes; estas pueden presentar diferentes desafíos tales como distorsiones, capturas desde diferentes ángulos, similaridad entre imágenes de diferentes clases y estilos artísticos parecidos entre pinturas de diferentes clases. Sin embargo, la verdadera dificultad radica al momento de representar una imagen (extraer características) a través de un vector, este inconveniente puede ser mitigado de varias formas, ya sea utilizando descriptores locales o globales tales como SIFT y SURF, respectivamente. No obstante, en este trabajo se pretende utilizar modelos pre-entrenados de redes neuronales convolucionales, para conseguir un extractor de características más robusto, debido a que estos presentan una tasa de acierto elevada frente a otros métodos tradicionales de visión computacional. Así mismo, se comparan los resultados obtenidos entre los modelos pre-entrenados Inception-V3 y ResNet y el nuevo extractor de características propuesto en este trabajo; aquel basado en la combinación de los modelos pre-entrenados previos. De esta comparación, se identifico que los resultados generados por el método propuesto son superiores a los resultados generados por Inception-V3 y ResNet.";2021
Universidad Nacional de San Antonio Abad del Cusco;Prototipo de un sistema portátil para el tratamiento preventivo de ulceraciones por presión del pie diabético;Aslla Sullca, Justa Marisol;Ingeniero Informático y de Sistemas;Villafuerte Serna, Rony;"El presente trabajo tiene como objetivo la implementación de un sistema portátil en pacientes con diabetes para el tratamiento preventivo de ulceraciones del pie diabético, para lo cual se desarrollará una aplicación móvil y un sistema web para monitorear la presión de pisada de un paciente, esto con la integración de una plantilla basada en sensores de velostat para captar información de presión de pisadas, esta información es enviada al celular del paciente mediante el microprocesador ESP32. Una de las consecuencias de la diabetes es el pie diabético en el que del total de las personas que sufren esta patología el 25% tienen riesgo de padecer úlceras en la planta del pie debido a presiones excesivas a lo largo de su vida. Esta lesión es la principal causa de amputación de miembros en pacientes con diabetes. En este contexto es trascendental el tratamiento preventivo de ulceraciones en el pie, pero el que se realiza es en base a factores subjetivos, es decir, variables dependientes del factor humano, tales como; la experiencia, visualización de características superficiales como enrojecimiento de la piel, aparición de callos entre otros. Se construyó una plantilla con 10 sensores, las cuales interactúan con el teléfono celular del paciente a través del protocolo de comunicación Bluetooth del microcontrolador ESP32. Con este trabajo de investigación se pone a disposición una herramienta tecnológica de apoyo al tratamiento preventivo de ulceraciones de la planta del pie generada por la falta de sensibilidad como consecuencia de la diabetes.";2021
Universidad Nacional de San Antonio Abad del Cusco;Evaluación de técnicas de Change detection utilizando imágenes satelitales Landsat 8 para identificar cambios en la superficie causados por la minería;Zela Quirita, Sheyla Ruby;Ingeniero Informático y de Sistemas;Villafuerte Serna, Rony;La minería es una de las actividades económicas más importantes para el Perú, la cual genera cambios sobre la cobertura terrestre, por ende es necesario cuantificar dichos cambios. Change detection es un tipo de enfoque de interpretación, el cual está orientado a analizar lo que ha cambiado entre dos o más imágenes adquiridas con un cierto intervalo de tiempo. Este enfoque es de gran importancia debido a las múltiples aplicaciones que tiene.Change detection aplicado a zonas mineras mediante imágenes satelitales es una tarea difícil, dado que las imágenes obtenidas mediante el satélite pueden tener diferentes variantes: brillo, contraste, saturación, oclusiones, por nombrar algunos. Actualmente no se ha encontrado trabajos que busquen determinar la técnica de change detection más óptima para este problema. Por lo tanto, es necesario evaluar las técnicas que resuelvan este problema de una manera más precisa. Se propone evaluar las técnicas Diferenciación de Imágenes, Ratioing, Change Vector Analysis, Normalized Diérence Vegetation Index, Tasseled Cap Transformation, CVA-TCT y PCA-Kmeans. Por último, se espera que los resultados permitan una mejor comprensión de las técnicas de change detection aplicado al problema de identi_cación de cambios generados por la minería. De igual manera se espera que este trabajo motive al desarrollo de futuros trabajos de carácter tecnológico que tengan como base la preservación del ecosistema. Se creará además un dataset de imágenes de zonas mineras, esperando que facilite el desarrollo de futuros trabajos en esta área.;2021
Universidad Nacional de San Antonio Abad del Cusco;Algoritmo para el problema data streaming clustering para conjuntos amorfos y con outliers;Campos Ardiles, Isaac;Ingeniero Informático y de Sistemas;Villafuerte Serna, Rony;El presente trabajo tiene la finalidad de investigar sobre el tema de Clustering porque es un campo importante dentro de Machine Learning y ha sido ampliamente estudiado durante varios años. Como resultado, se desarrollaron muchos algoritmos que resuelven este problema, los cuales tal como están planteados no pueden resolver el caso particular que será objeto de este estudio. Por ello un nuevo problema llama- do Data Streaming Clustering fue propuesto y fue objeto de investigación de muchos estudios. Este problema está definido como el clustering de un flujo de datos recibidos continuamente. Data Streaming clustering tiene como objetivo encontrar y mantener un conjunto de clusters válidos en un continuo y posiblemente ilimitado flujo de datos. Teniendo en cuenta las limitantes actuales en la tecnología como la capacidad de la memoria o limitaciones en el tiempo computacional. Es importante tener en cuenta que los algoritmos para el problema de clustering no pueden resolver eficientemente el problema en estudio sin una previa modificación, ya que no toman en cuenta estas características. Debido a las características de este problema los algoritmos planteados para resolver el problema de Data Streaming clustering pueden ser usados para minería de datos con características especiales como outliers o ruido en los datos, como grabaciones telefónicas, transacciones bancarias, información de redes sociales. En esta investigación se presenta el diseño e implementación de un algoritmo para Data Streaming Clustering para datasets con clusters irregulares, outliers y sin necesidad de un conocimiento previo del número de clusters, además se realiza un análisis y discusión sobre los resultados.;2021
Universidad Nacional de San Antonio Abad del Cusco;Construcción de un prototipo de sistema para clasificar enfermedades en las hojas de cafeto basado en visión computacional;Puclla Zegarra, Erwin Jharin;Ingeniero Informático y de Sistemas;Enciso Rodas, Lauro;"Existen enfermedades y plagas que afectan al crecimiento del cafeto que son clasiﬁcadas haciendo uso de métodos tradicionales, manuales y visuales generando un margen de error en los resultados y tiempos de respuesta prolongados en los diagnósticos, en consecuencia, se tiene mayor índice de expansión de enfermedades en los cultivos de cafeto, mala calidad de granos y disminución en la producción del café. Sin embargo carecemos de una herramienta tecnológica eﬁcaz y automática para la clasiﬁcación de enfermedades, por ello la necesidad de construir un prototipo de sistema de clasiﬁcación de enfermedades en las hojas del cafeto basado en visión computacional, y mostrar información técnica de las mismas para plantear un mejor control; las enfermedades afectan al fruto como a las hojas, en algunos casos se puede apreciar en la raíz de la planta, entre las enfermedades que dañan las hojas se tiene; Leucoptera Coﬀeella, Mycena Citricolor, Hemileia Vastatrix. Para contrarrestar las enfermedades de manera eﬁciente en tiempo prudente se construye un prototipo de sistema de clasiﬁcación de enfermedades constituido en 3 partes, primero, la construcción de un conjunto de datos (dataset de imágenes) de validación y entrenamiento formado por 1000 imágenes de enfermedades de interés, en segundo lugar, se diseña una arquitectura de red neuronal convolucional para la fase de entrenamiento y clasiﬁcación de la enfermedad, así mismo, se propone modelos de redes neuronales convolucionales ya construidos como el modelo VGG-16, AlexNet e InceptionV3 los cuales fueron entrenados en un entorno virtual denominado Google Colaboratory; la imagen de entrada a ser clasiﬁcada sufre transformaciones de preprocesamiento como técnicas de segmentación de imágenes, ecualización de imágenes y ﬁltros de suavizado; ﬁnalmente se construye el prototipo del sistema haciendo uso del modelo ya entrenado y los módulos de segmentación de imágenes basado en color y umbralizacio´n para poder separar la región sana y enferma solo en caso de Hemileia Vastatrix, así mismo, se complementa con la información técnica de las enfermedades a tratar tales como biología, agente causal, daño y control. Desarrollado en entorno de escritorio, así el proceso de clasiﬁcación se realiza en tiempo real, sin conocimiento previo adquirido a través de la experiencia, menor margen de error y es diagnosticado inmediatamente por los especialistas o caﬁcultores evitando la propagación masiva de la enfermedad.";2020
